index,ID,FILE,AUTHOR,TECHNIQUE,FORM,TYPE,SCHOOL,TIMELINE
9872,9873,9873.jpg,"CRANACH, Lucas the Elder",Oil and tempera on wood,painting,genre,German,1501-1550
34204,34205,34205.jpg,-,Stone,painting,landscape,German,1801-1850
9878,9879,9879.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,other,German,1501-1550
9729,9730,9730.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,religious,German,1501-1550
33880,33881,33881.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
24154,24155,24155.jpg,MASTER of the Housebook,Tempera and oil on wood,painting,religious,German,1451-1500
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
9872,9873,9873.jpg,"CRANACH, Lucas the Elder",Oil and tempera on wood,painting,genre,German,1501-1550
33356,33357,33357.jpg,-,Oil on panel,painting,still-life,German,1551-1600
39828,39829,39829.jpg,"UNKNOWN MASTER, German",Oak,painting,religious,German,1351-1400
12153,12154,12154.jpg,"DÜRER, Albrecht",Pen,graphics,study,German,1501-1550
346,347,347.jpg,"ALTDORFER, Albrecht",Limewood,painting,religious,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
34200,34201,34201.jpg,-,Stone,painting,landscape,German,1801-1850
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
19092,19093,19093.jpg,"HOLBEIN, Hans the Elder",Silver,graphics,portrait,German,1451-1500
33881,33882,33882.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
12310,12311,12311.jpg,"DÜRER, Albrecht",Woodcut,graphics,religious,German,1501-1550
9797,9798,9798.jpg,"CRANACH, Lucas the Elder",Oil and tempera on wood,painting,mythological,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
39829,39830,39830.jpg,"UNKNOWN MASTER, German",Oak,painting,religious,German,1401-1450
35506,35507,35507.jpg,"SCHONGAUER, Martin",Copper,graphics,religious,German,1451-1500
9759,9760,9760.jpg,"CRANACH, Lucas the Elder",Oil and tempera on wood,painting,mythological,German,1501-1550
40597,40598,40598.jpg,-,Tapestry,tapestry,other,German,1401-1450
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
34200,34201,34201.jpg,-,Stone,painting,landscape,German,1801-1850
18879,18880,18880.jpg,-,Stained glass window,painting,religious,German,1451-1500
33281,33282,33282.jpg,-,Watercolour,graphics,landscape,German,1801-1850
12445,12446,12446.jpg,"DÜRER, Albrecht",Watercolour on paper,graphics,other,German,1501-1550
33884,33885,33885.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
9744,9745,9745.jpg,"CRANACH, Lucas the Elder",Oil and tempera on limewood,painting,mythological,German,1501-1550
34200,34201,34201.jpg,-,Stone,painting,landscape,German,1801-1850
35520,35521,35521.jpg,"SCHONGAUER, Martin",Copper,graphics,religious,German,1451-1500
12428,12429,12429.jpg,"DÜRER, Albrecht",Watercolour on paper,graphics,landscape,German,1501-1550
9775,9776,9776.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,mythological,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
9743,9744,9744.jpg,"CRANACH, Lucas the Elder",Oil and tempera on limewood,painting,mythological,German,1501-1550
19092,19093,19093.jpg,"HOLBEIN, Hans the Elder",Silver,graphics,portrait,German,1451-1500
34200,34201,34201.jpg,-,Stone,painting,landscape,German,1801-1850
40595,40596,40596.jpg,-,Tapestry,tapestry,religious,German,1151-1200
35520,35521,35521.jpg,"SCHONGAUER, Martin",Copper,graphics,religious,German,1451-1500
40595,40596,40596.jpg,-,Tapestry,tapestry,religious,German,1151-1200
9751,9752,9752.jpg,"CRANACH, Lucas the Elder",Oil and tempera on limewood,painting,mythological,German,1501-1550
18879,18880,18880.jpg,-,Stained glass window,painting,religious,German,1451-1500
21935,21936,21936.jpg,"LOCHNER, Stefan",Oak,painting,religious,German,1401-1450
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40595,40596,40596.jpg,-,Tapestry,tapestry,religious,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40595,40596,40596.jpg,-,Tapestry,tapestry,religious,German,1151-1200
34204,34205,34205.jpg,-,Stone,painting,landscape,German,1801-1850
34204,34205,34205.jpg,-,Stone,painting,landscape,German,1801-1850
18879,18880,18880.jpg,-,Stained glass window,painting,religious,German,1451-1500
34200,34201,34201.jpg,-,Stone,painting,landscape,German,1801-1850
9745,9746,9746.jpg,"CRANACH, Lucas the Elder",Oil and tempera on limewood,painting,mythological,German,1501-1550
9660,9661,9661.jpg,"CRANACH, Lucas the Elder",Oil and tempera on limewood,painting,religious,German,1501-1550
40595,40596,40596.jpg,-,Tapestry,tapestry,religious,German,1151-1200
33880,33881,33881.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
33883,33884,33884.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
11991,11992,11992.jpg,"DÜRER, Albrecht",Oil and tempera on panel,painting,religious,German,1501-1550
20449,20450,20450.jpg,-,Oil on poplar panel,painting,genre,German,1501-1550
35373,35374,35374.jpg,-,Limewood,painting,mythological,German,1501-1550
19092,19093,19093.jpg,"HOLBEIN, Hans the Elder",Silver,graphics,portrait,German,1451-1500
39829,39830,39830.jpg,"UNKNOWN MASTER, German",Oak,painting,religious,German,1401-1450
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
19092,19093,19093.jpg,"HOLBEIN, Hans the Elder",Silver,graphics,portrait,German,1451-1500
12052,12053,12053.jpg,"DÜRER, Albrecht",Tempera and oil on wood,painting,religious,German,1501-1550
34200,34201,34201.jpg,-,Stone,painting,landscape,German,1801-1850
18351,18352,18352.jpg,"HACKERT, Jacob Philipp",Oil on canvas,painting,landscape,German,1751-1800
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
9763,9764,9764.jpg,"CRANACH, Lucas the Elder",Oil and tempera on wood,painting,mythological,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
19092,19093,19093.jpg,"HOLBEIN, Hans the Elder",Silver,graphics,portrait,German,1451-1500
9873,9874,9874.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,genre,German,1501-1550
43310,43311,43311.jpg,-,-,painting,interior,German,1701-1750
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
33880,33881,33881.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
12451,12452,12452.jpg,"DÜRER, Albrecht",Watercolour on paper,graphics,other,German,1501-1550
23786,23787,23787.jpg,-,Copper,graphics,study,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
28815,28816,28816.jpg,-,Lithograph,graphics,landscape,German,1801-1850
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
33881,33882,33882.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
33880,33881,33881.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
9795,9796,9796.jpg,"CRANACH, Lucas the Elder",Oil and tempera on wood,painting,mythological,German,1501-1550
12240,12241,12241.jpg,"DÜRER, Albrecht",Woodcut,graphics,genre,German,1501-1550
33880,33881,33881.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
19092,19093,19093.jpg,"HOLBEIN, Hans the Elder",Silver,graphics,portrait,German,1451-1500
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
19092,19093,19093.jpg,"HOLBEIN, Hans the Elder",Silver,graphics,portrait,German,1451-1500
33880,33881,33881.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
33884,33885,33885.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
33884,33885,33885.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
33883,33884,33884.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
24209,24210,24210.jpg,-,Oak,painting,religious,German,1451-1500
9821,9822,9822.jpg,"CRANACH, Lucas the Elder",Oil and tempera on wood,painting,portrait,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
9753,9754,9754.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,mythological,German,1501-1550
33884,33885,33885.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
13906,13907,13907.jpg,"FRIEDRICH, Caspar David",Pencil,graphics,portrait,German,1801-1850
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
34200,34201,34201.jpg,-,Stone,painting,landscape,German,1801-1850
34204,34205,34205.jpg,-,Stone,painting,landscape,German,1801-1850
18879,18880,18880.jpg,-,Stained glass window,painting,religious,German,1451-1500
12321,12322,12322.jpg,"DÜRER, Albrecht",Woodcut,graphics,mythological,German,1501-1550
33356,33357,33357.jpg,-,Oil on panel,painting,still-life,German,1551-1600
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
34204,34205,34205.jpg,-,Stone,painting,landscape,German,1801-1850
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40595,40596,40596.jpg,-,Tapestry,tapestry,religious,German,1151-1200
34200,34201,34201.jpg,-,Stone,painting,landscape,German,1801-1850
20780,20781,20781.jpg,-,Etching,graphics,landscape,German,1551-1600
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
9863,9864,9864.jpg,"CRANACH, Lucas the Elder",Oil on canvas transferred from wood,painting,portrait,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
19092,19093,19093.jpg,"HOLBEIN, Hans the Elder",Silver,graphics,portrait,German,1451-1500
25341,25342,25342.jpg,"MENZEL, Adolph von",-,painting,interior,German,1851-1900
24130,24131,24131.jpg,-,Oak,painting,religious,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
34204,34205,34205.jpg,-,Stone,painting,landscape,German,1801-1850
20780,20781,20781.jpg,-,Etching,graphics,landscape,German,1551-1600
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
33883,33884,33884.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
34200,34201,34201.jpg,-,Stone,painting,landscape,German,1801-1850
9923,9924,9924.jpg,"CRANACH, Lucas the Elder",Woodcut,graphics,other,German,1501-1550
9793,9794,9794.jpg,"CRANACH, Lucas the Elder",Oil and tempera on wood,painting,mythological,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
21061,21062,21062.jpg,-,Oil on cardboard,painting,portrait,German,1851-1900
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
34200,34201,34201.jpg,-,Stone,painting,landscape,German,1801-1850
33880,33881,33881.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
36912,36913,36913.jpg,"STOSS, Veit",Copper,graphics,religious,German,1451-1500
33884,33885,33885.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
9791,9792,9792.jpg,"CRANACH, Lucas the Elder",Oil and tempera on wood,painting,mythological,German,1501-1550
25318,25319,25319.jpg,"MENGS, Anton Raphael",Oil on canvas,painting,portrait,German,1751-1800
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
18879,18880,18880.jpg,-,Stained glass window,painting,religious,German,1451-1500
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
36910,36911,36911.jpg,"STOSS, Veit",Copper,graphics,religious,German,1451-1500
12297,12298,12298.jpg,"DÜRER, Albrecht",Woodcut,graphics,religious,German,1501-1550
19092,19093,19093.jpg,"HOLBEIN, Hans the Elder",Silver,graphics,portrait,German,1451-1500
9836,9837,9837.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,portrait,German,1501-1550
33880,33881,33881.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
35518,35519,35519.jpg,"SCHONGAUER, Martin",Copper,graphics,religious,German,1451-1500
33883,33884,33884.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
40595,40596,40596.jpg,-,Tapestry,tapestry,religious,German,1151-1200
40595,40596,40596.jpg,-,Tapestry,tapestry,religious,German,1151-1200
35366,35367,35367.jpg,-,Marble,painting,other,German,1801-1850
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
33883,33884,33884.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
34200,34201,34201.jpg,-,Stone,painting,landscape,German,1801-1850
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
33883,33884,33884.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
39828,39829,39829.jpg,"UNKNOWN MASTER, German",Oak,painting,religious,German,1351-1400
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
33880,33881,33881.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
34200,34201,34201.jpg,-,Stone,painting,landscape,German,1801-1850
21462,21463,21463.jpg,"LIEBERMANN, Max",Pastel on paper,painting,genre,German,1851-1900
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
33881,33882,33882.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
40595,40596,40596.jpg,-,Tapestry,tapestry,religious,German,1151-1200
9796,9797,9797.jpg,"CRANACH, Lucas the Elder",Oil and tempera on wood,painting,mythological,German,1501-1550
9825,9826,9826.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,portrait,German,1501-1550
9872,9873,9873.jpg,"CRANACH, Lucas the Elder",Oil and tempera on wood,painting,genre,German,1501-1550
12109,12110,12110.jpg,"DÜRER, Albrecht",Pen,graphics,study,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
9871,9872,9872.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,genre,German,1501-1550
18879,18880,18880.jpg,-,Stained glass window,painting,religious,German,1451-1500
35371,35372,35372.jpg,-,Limewood,painting,mythological,German,1501-1550
33880,33881,33881.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
9674,9675,9675.jpg,"CRANACH, Lucas the Elder",Limewood,painting,religious,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
9712,9713,9713.jpg,"CRANACH, Lucas the Elder",Oil and tempera on limewood,painting,religious,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40597,40598,40598.jpg,-,Tapestry,tapestry,other,German,1401-1450
18023,18024,18024.jpg,"GRÜNEWALD, Matthias",Black chalk,graphics,study,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
13910,13911,13911.jpg,"FRIEDRICH, Caspar David",Pen,graphics,landscape,German,1801-1850
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
24132,24133,24133.jpg,-,Oil on panel,painting,religious,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
33884,33885,33885.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
33884,33885,33885.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
35558,35559,35559.jpg,-,Woodcut,graphics,other,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
19092,19093,19093.jpg,"HOLBEIN, Hans the Elder",Silver,graphics,portrait,German,1451-1500
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
12634,12635,12635.jpg,"ELSHEIMER, Adam",Oil on copper,painting,historical,German,1551-1600
18879,18880,18880.jpg,-,Stained glass window,painting,religious,German,1451-1500
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
33883,33884,33884.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
19130,19131,19131.jpg,"HOLBEIN, Hans the Younger",Limewood,painting,mythological,German,1501-1550
9814,9815,9815.jpg,"CRANACH, Lucas the Elder",Oil and tempera on wood,painting,portrait,German,1501-1550
9775,9776,9776.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,mythological,German,1501-1550
23785,23786,23786.jpg,-,Engraving,graphics,historical,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
33884,33885,33885.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
33884,33885,33885.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
33880,33881,33881.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
18879,18880,18880.jpg,-,Stained glass window,painting,religious,German,1451-1500
9792,9793,9793.jpg,"CRANACH, Lucas the Elder",Oil and tempera on wood,painting,mythological,German,1501-1550
34204,34205,34205.jpg,-,Stone,painting,landscape,German,1801-1850
9814,9815,9815.jpg,"CRANACH, Lucas the Elder",Oil and tempera on wood,painting,portrait,German,1501-1550
34200,34201,34201.jpg,-,Stone,painting,landscape,German,1801-1850
9740,9741,9741.jpg,"CRANACH, Lucas the Elder",Oil and tempera on wood,painting,religious,German,1501-1550
9873,9874,9874.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,genre,German,1501-1550
33881,33882,33882.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
39923,39924,39924.jpg,"UNKNOWN MASTER, German",Woodcut,graphics,other,German,1401-1450
35372,35373,35373.jpg,-,Limewood,painting,mythological,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
9639,9640,9640.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,religious,German,1501-1550
40595,40596,40596.jpg,-,Tapestry,tapestry,religious,German,1151-1200
33880,33881,33881.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
9777,9778,9778.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,mythological,German,1501-1550
24451,24452,24452.jpg,-,Engraving,graphics,religious,German,1451-1500
34204,34205,34205.jpg,-,Stone,painting,landscape,German,1801-1850
33285,33286,33286.jpg,-,Oil on canvas,painting,landscape,German,1801-1850
9844,9845,9845.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,portrait,German,1501-1550
34204,34205,34205.jpg,-,Stone,painting,landscape,German,1801-1850
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
9871,9872,9872.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,genre,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
35366,35367,35367.jpg,-,Marble,painting,other,German,1801-1850
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
34204,34205,34205.jpg,-,Stone,painting,landscape,German,1801-1850
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
28815,28816,28816.jpg,-,Lithograph,graphics,landscape,German,1801-1850
34204,34205,34205.jpg,-,Stone,painting,landscape,German,1801-1850
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
33883,33884,33884.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
19114,19115,19115.jpg,"HOLBEIN, Hans the Younger",Limewood,painting,religious,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
18879,18880,18880.jpg,-,Stained glass window,painting,religious,German,1451-1500
9693,9694,9694.jpg,"CRANACH, Lucas the Elder",Oil and tempera on limewood,painting,religious,German,1501-1550
9819,9820,9820.jpg,"CRANACH, Lucas the Elder",Oil and tempera on limewood,painting,portrait,German,1501-1550
9874,9875,9875.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,genre,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
33883,33884,33884.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
35518,35519,35519.jpg,"SCHONGAUER, Martin",Copper,graphics,religious,German,1451-1500
40595,40596,40596.jpg,-,Tapestry,tapestry,religious,German,1151-1200
34204,34205,34205.jpg,-,Stone,painting,landscape,German,1801-1850
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
9841,9842,9842.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,portrait,German,1501-1550
9824,9825,9825.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,portrait,German,1501-1550
9889,9890,9890.jpg,"CRANACH, Lucas the Elder",Oil on paper,graphics,portrait,German,1501-1550
9753,9754,9754.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,mythological,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
35518,35519,35519.jpg,"SCHONGAUER, Martin",Copper,graphics,religious,German,1451-1500
9639,9640,9640.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,religious,German,1501-1550
18879,18880,18880.jpg,-,Stained glass window,painting,religious,German,1451-1500
40595,40596,40596.jpg,-,Tapestry,tapestry,religious,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
6480,6481,6481.jpg,"BURGKMAIR, Hans",Limewood,painting,portrait,German,1501-1550
35372,35373,35373.jpg,-,Limewood,painting,mythological,German,1501-1550
40595,40596,40596.jpg,-,Tapestry,tapestry,religious,German,1151-1200
40595,40596,40596.jpg,-,Tapestry,tapestry,religious,German,1151-1200
9874,9875,9875.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,genre,German,1501-1550
34200,34201,34201.jpg,-,Stone,painting,landscape,German,1801-1850
35362,35363,35363.jpg,-,Marble,painting,other,German,1801-1850
40595,40596,40596.jpg,-,Tapestry,tapestry,religious,German,1151-1200
9769,9770,9770.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,mythological,German,1501-1550
9874,9875,9875.jpg,"CRANACH, Lucas the Elder",Oil and tempera on red beechwood,painting,genre,German,1501-1550
40597,40598,40598.jpg,-,Tapestry,tapestry,other,German,1401-1450
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
9041,9042,9042.jpg,-,Woodcut,graphics,portrait,German,1551-1600
9744,9745,9745.jpg,"CRANACH, Lucas the Elder",Oil and tempera on limewood,painting,mythological,German,1501-1550
34200,34201,34201.jpg,-,Stone,painting,landscape,German,1801-1850
34204,34205,34205.jpg,-,Stone,painting,landscape,German,1801-1850
24272,24273,24273.jpg,MASTER of the St. Bartholomew Altar,Oak,painting,religious,German,1451-1500
34200,34201,34201.jpg,-,Stone,painting,landscape,German,1801-1850
12445,12446,12446.jpg,"DÜRER, Albrecht",Watercolour on paper,graphics,other,German,1501-1550
40597,40598,40598.jpg,-,Tapestry,tapestry,other,German,1401-1450
35373,35374,35374.jpg,-,Limewood,painting,mythological,German,1501-1550
12416,12417,12417.jpg,"DÜRER, Albrecht",Etching,graphics,religious,German,1501-1550
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
33883,33884,33884.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
35521,35522,35522.jpg,"SCHONGAUER, Martin",Copper,graphics,religious,German,1451-1500
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
7665,7666,7666.jpg,-,Watercolour,painting,landscape,German,1801-1850
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
33883,33884,33884.jpg,"ROMANESQUE PAINTER, German",Painted wood,painting,religious,German,1201-1250
40596,40597,40597.jpg,-,Tapestry,tapestry,historical,German,1151-1200
